subject,condition,rateVar,task
8,Asynchronous,0.350034933,loudness
8,Synchronous,0.181322582,loudness
9,Asynchronous,0.580914594,loudness
9,Synchronous,0.368426523,loudness
10,Asynchronous,0.219143935,loudness
10,Synchronous,0.251485695,loudness
11,Asynchronous,1.107657502,loudness
11,Synchronous,0.195634843,loudness
12,Asynchronous,0.120750045,loudness
12,Synchronous,0.253385178,loudness
13,Asynchronous,0.212980676,loudness
13,Synchronous,0.239105405,loudness
14,Asynchronous,0.526766262,loudness
14,Synchronous,0.492970427,loudness
15,Asynchronous,0.272807848,loudness
15,Synchronous,0.552844166,loudness
16,Asynchronous,0.539334112,loudness
16,Synchronous,0.851064997,loudness
17,Asynchronous,0.102639329,loudness
17,Synchronous,0.424524856,loudness
18,Asynchronous,0.323419873,loudness
18,Synchronous,0.099583676,loudness
19,Asynchronous,0.498964058,loudness
19,Synchronous,0.543984005,loudness
20,Asynchronous,0.420712176,loudness
20,Synchronous,0.363078361,loudness
21,Asynchronous,0.478210163,loudness
21,Synchronous,0.424515032,loudness
22,Asynchronous,0.37066541,loudness
22,Synchronous,0.45308701,loudness
23,Asynchronous,0.717226928,loudness
23,Synchronous,0.628155736,loudness
24,Asynchronous,0.085433003,loudness
24,Synchronous,0.158102661,loudness
26,Asynchronous,0.141629317,loudness
26,Synchronous,0.097357191,loudness
27,Asynchronous,0.132639528,loudness
27,Synchronous,0.12515028,loudness
1,Asynchronous,0.862319005,loudness
1,Synchronous,0.947985073,loudness
28,Asynchronous,0.336725609,loudness
29,Asynchronous,0.432095424,loudness
29,Synchronous,0.400131399,loudness
30,Asynchronous,0.331400796,loudness
30,Synchronous,0.178294109,loudness
2,Asynchronous,0.066437908,loudness
2,Synchronous,0.10913182,loudness
3,Asynchronous,0.102735185,loudness
3,Synchronous,0.258483404,loudness
4,Asynchronous,0.330037706,loudness
4,Synchronous,0.285162686,loudness
5,Asynchronous,0.187218431,loudness
5,Synchronous,0.3760443,loudness
6,Asynchronous,0.301600272,loudness
6,Synchronous,0.29295773,loudness
7,Asynchronous,0.41627444,loudness
7,Synchronous,0.260791471,loudness
8,Asynchronous,0.407140404,voice
8,Synchronous,0.173493754,voice
9,Asynchronous,0.494522979,voice
9,Synchronous,0.422219848,voice
10,Asynchronous,0.290704987,voice
10,Synchronous,0.169844978,voice
11,Asynchronous,0.288073968,voice
11,Synchronous,1.314421977,voice
12,Asynchronous,0.121977602,voice
12,Synchronous,0.12130711,voice
13,Asynchronous,0.173994055,voice
13,Synchronous,0.230314825,voice
14,Asynchronous,0.346843712,voice
14,Synchronous,0.34080018,voice
15,Asynchronous,0.391435516,voice
15,Synchronous,0.683202335,voice
16,Asynchronous,0.644371886,voice
16,Synchronous,0.673659175,voice
17,Asynchronous,0.4170235,voice
17,Synchronous,0.22910233,voice
18,Asynchronous,0.237067324,voice
18,Synchronous,0.126161389,voice
19,Asynchronous,0.718153462,voice
19,Synchronous,0.49228962,voice
20,Asynchronous,0.494946094,voice
20,Synchronous,0.341052987,voice
21,Asynchronous,0.396545124,voice
21,Synchronous,0.306098064,voice
22,Asynchronous,0.508874102,voice
22,Synchronous,0.33395759,voice
23,Asynchronous,1.017270099,voice
23,Synchronous,0.386003189,voice
24,Asynchronous,0.101422102,voice
24,Synchronous,0.125988394,voice
26,Asynchronous,0.175286329,voice
26,Synchronous,0.112910369,voice
27,Asynchronous,0.123621233,voice
27,Synchronous,0.127910817,voice
1,Asynchronous,0.607290002,voice
1,Synchronous,0.752149039,voice
28,Synchronous,0.803595777,voice
29,Asynchronous,0.375046581,voice
29,Synchronous,0.40432172,voice
30,Asynchronous,0.33553031,voice
30,Synchronous,0.40425403,voice
2,Synchronous,0.267341649,voice
3,Asynchronous,0.292051876,voice
3,Synchronous,0.423567312,voice
4,Asynchronous,0.418809215,voice
4,Synchronous,0.303962456,voice
5,Asynchronous,0.212785049,voice
5,Synchronous,0.345545375,voice
6,Asynchronous,0.231423823,voice
6,Synchronous,0.244538486,voice
7,Asynchronous,0.172026087,voice
7,Synchronous,0.242149664,voice
