subject,condition,hrv,task
8,Asynchronous,43.62018083,loudness
8,Synchronous,40.8258592,loudness
9,Asynchronous,70.62358016,loudness
9,Synchronous,73.4298551,loudness
10,Asynchronous,17.49719493,loudness
10,Synchronous,16.88469521,loudness
11,Asynchronous,93.46417505,loudness
11,Synchronous,58.60366042,loudness
12,Asynchronous,79.45894567,loudness
12,Synchronous,40.32337438,loudness
13,Asynchronous,37.04960351,loudness
13,Synchronous,30.58445462,loudness
14,Asynchronous,23.05432904,loudness
14,Synchronous,16.91978029,loudness
15,Asynchronous,30.81757826,loudness
15,Synchronous,24.73548496,loudness
16,Asynchronous,58.45297897,loudness
16,Synchronous,58.20639912,loudness
17,Asynchronous,27.5537823,loudness
17,Synchronous,28.80156868,loudness
18,Asynchronous,38.8050783,loudness
18,Synchronous,19.24525661,loudness
19,Asynchronous,33.0110808,loudness
19,Synchronous,21.07804748,loudness
20,Asynchronous,22.39528532,loudness
20,Synchronous,18.05950035,loudness
21,Asynchronous,48.89881291,loudness
21,Synchronous,45.80698625,loudness
22,Asynchronous,21.02735249,loudness
22,Synchronous,17.74289592,loudness
23,Asynchronous,64.49775324,loudness
23,Synchronous,60.23908206,loudness
24,Asynchronous,21.25393377,loudness
24,Synchronous,163.7855632,loudness
26,Asynchronous,17.23738457,loudness
26,Synchronous,25.63701341,loudness
27,Asynchronous,31.84719644,loudness
27,Synchronous,30.90771453,loudness
1,Asynchronous,12.98394121,loudness
1,Synchronous,16.0530702,loudness
28,Asynchronous,35.72774595,loudness
29,Asynchronous,24.40481972,loudness
29,Synchronous,26.32684966,loudness
30,Asynchronous,63.37521794,loudness
30,Synchronous,53.04707552,loudness
2,Asynchronous,20.11261207,loudness
2,Synchronous,17.86424977,loudness
3,Asynchronous,16.70633337,loudness
3,Synchronous,14.49000975,loudness
4,Asynchronous,6.610664298,loudness
4,Synchronous,7.088942624,loudness
5,Asynchronous,15.59011318,loudness
5,Synchronous,15.78808818,loudness
6,Asynchronous,22.0371519,loudness
6,Synchronous,20.60244664,loudness
7,Asynchronous,49.90446896,loudness
7,Synchronous,51.36634561,loudness
8,Asynchronous,48.70483402,voice
8,Synchronous,37.53936822,voice
9,Asynchronous,68.66526519,voice
9,Synchronous,78.80308714,voice
10,Asynchronous,14.09616559,voice
10,Synchronous,17.61638073,voice
11,Asynchronous,95.59798067,voice
11,Synchronous,69.29084523,voice
12,Asynchronous,71.63585944,voice
12,Synchronous,65.23030078,voice
13,Asynchronous,28.85152983,voice
13,Synchronous,28.67753776,voice
14,Asynchronous,20.01852386,voice
14,Synchronous,17.34141631,voice
15,Asynchronous,25.12438892,voice
15,Synchronous,58.95972605,voice
16,Asynchronous,58.60755751,voice
16,Synchronous,55.63958302,voice
17,Asynchronous,32.51097317,voice
17,Synchronous,29.72652636,voice
18,Asynchronous,82.27189565,voice
18,Synchronous,35.404336,voice
19,Asynchronous,19.95125851,voice
19,Synchronous,24.75614354,voice
20,Asynchronous,21.94454423,voice
20,Synchronous,22.4533013,voice
21,Asynchronous,51.1235129,voice
21,Synchronous,53.36285483,voice
22,Asynchronous,21.73754542,voice
22,Synchronous,21.08730515,voice
23,Asynchronous,60.54878916,voice
23,Synchronous,51.08845436,voice
24,Asynchronous,20.09978386,voice
24,Synchronous,22.7628758,voice
26,Asynchronous,26.89539825,voice
26,Synchronous,24.37988503,voice
27,Asynchronous,31.86108207,voice
27,Synchronous,28.40011411,voice
1,Asynchronous,13.96527053,voice
1,Synchronous,12.65106836,voice
28,Synchronous,35.7911111,voice
29,Asynchronous,19.35153487,voice
29,Synchronous,26.38293107,voice
30,Asynchronous,48.89372451,voice
30,Synchronous,42.95161533,voice
2,Synchronous,19.97713695,voice
3,Asynchronous,13.87709417,voice
3,Synchronous,13.00527469,voice
4,Asynchronous,6.935583744,voice
4,Synchronous,6.414740263,voice
5,Asynchronous,21.09924406,voice
5,Synchronous,16.28945037,voice
6,Asynchronous,19.76658067,voice
6,Synchronous,18.23251465,voice
7,Asynchronous,54.48431607,voice
7,Synchronous,51.24669846,voice
